b:tnow in s;m:u in p.u.
0.315333;1.015122
0.316333;1.015142
0.317333;1.015163
0.318333;1.015183
0.319333;1.015203
0.320333;1.015224
0.321333;1.015245
0.322333;1.015265
0.323333;1.015286
0.324333;1.015308
0.325333;1.015329
0.326333;1.015350
0.327333;1.015372
0.328333;1.015393
0.329333;1.015415
0.330333;1.015436
0.331333;1.015458
0.332333;1.015480
0.333333;1.015502
0.334333;1.015524
0.335333;1.015546
0.336333;1.015568
0.337333;1.015590
0.338333;1.015612
0.339333;1.015634
0.340333;1.015656
0.341333;1.015678
0.342333;1.015701
0.343333;1.015723
0.344333;1.015745
0.345333;1.015768
0.346333;1.015790
0.347333;1.015812
0.348333;1.015834
0.349333;1.015857
0.350333;1.015879
0.351333;1.015901
0.352333;1.015924
0.353333;1.015946
0.354333;1.015969
0.355333;1.015991
0.356333;1.016013
0.357333;1.016035
0.358333;1.016057
0.359333;1.016080
0.360333;1.016102
0.361333;1.016124
0.362333;1.016146
0.363333;1.016168
0.364333;1.016190
0.365333;1.016212
0.366333;1.016234
0.367333;1.016256
0.368333;1.016278
0.369333;1.016299
0.370333;1.016321
0.371333;1.016343
0.372333;1.016365
0.373333;1.016386
0.374333;1.016408
0.375333;1.016429
0.376333;1.016450
0.377333;1.016472
0.378333;1.016493
0.379333;1.016514
0.380333;1.016535
0.381333;1.016556
0.382333;1.016577
0.383333;1.016598
0.384333;1.016619
0.385333;1.016640
0.386333;1.016661
0.387333;1.016681
0.388333;1.016702
0.389333;1.016722
0.390333;1.016743
0.391333;1.016763
0.392333;1.016783
0.393333;1.016804
0.394333;1.016824
0.395333;1.016844
0.396333;1.016864
0.397333;1.016884
0.398333;1.016903
0.399333;1.016923
0.400333;1.016943
0.401333;1.016962
0.402333;1.016981
0.403333;1.017001
0.404333;1.017020
0.405333;1.017039
0.406333;1.017058
0.407333;1.017077
0.408333;1.017096
0.409333;1.017115
0.410333;1.017134
0.411333;1.017152
0.412333;1.017171
0.413333;1.017189
0.414333;1.017208
0.415333;1.017226
0.416333;1.017244
0.417333;1.017262
0.418333;1.017280
0.419333;1.017298
0.420333;1.017316
0.421333;1.017334
0.422333;1.017352
0.423333;1.017369
0.424333;1.017387
0.425333;1.017404
0.426333;1.017422
0.427333;1.017439
0.428333;1.017456
0.429333;1.017473
0.430333;1.017490
0.431333;1.017507
0.432333;1.017524
0.433333;1.017541
0.434333;1.017558
0.435333;1.017574
0.436333;1.017591
0.437333;1.017607
0.438333;1.017624
0.439333;1.017640
0.440333;1.017656
0.441333;1.017673
0.442333;1.017689
0.443333;1.017705
0.444333;1.017721
0.445333;1.017737
0.446333;1.017752
0.447333;1.017768
0.448333;1.017784
0.449333;1.017799
0.450333;1.017815
0.451333;1.017830
0.452333;1.017846
0.453333;1.017861
0.454333;1.017876
0.455333;1.017891
0.456333;1.017906
0.457333;1.017921
0.458333;1.017936
0.459333;1.017951
0.460333;1.017966
0.461333;1.017981
0.462333;1.017995
0.463333;1.018010
0.464333;1.018024
0.465333;1.018039
0.466333;1.018053
0.467333;1.018067
0.468333;1.018082
0.469333;1.018096
0.470333;1.018110
0.471333;1.018124
0.472333;1.018138
0.473333;1.018152
0.474333;1.018166
0.475333;1.018180
0.476333;1.018194
0.477333;1.018207
0.478333;1.018222
0.479333;1.018239
0.480333;1.018255
0.481333;1.018268
0.482333;1.018282
0.483333;1.018295
0.484333;1.018308
0.485333;1.018321
0.486333;1.018335
0.487333;1.018348
0.488333;1.018361
0.489333;1.018374
0.490333;1.018387
0.491333;1.018400
0.492333;1.018412
0.493333;1.018425
0.494333;1.018438
0.495333;1.018450
0.496333;1.018462
0.497333;1.018472
0.498333;1.018484
0.499333;1.018495
0.500333;1.018507
0.501333;1.018519
0.502333;1.018531
0.503333;1.018543
0.504333;1.018555
0.505333;1.018567
0.506333;1.018579
0.507333;1.018591
0.508333;1.018603
0.509333;1.018615
0.510333;1.018626
0.511333;1.018638
0.512333;1.018650
0.513333;1.018662
0.514333;1.018673
0.515333;1.018685
0.516333;1.018697
0.517333;1.018708
0.518333;1.018720
0.519333;1.018731
0.520333;1.018742
0.521333;1.018754
0.522333;1.018765
0.523333;1.018776
0.524333;1.018787
0.525333;1.018798
0.526333;1.018810
0.527333;1.018821
0.528333;1.018832
0.529333;1.018843
0.530333;1.018853
0.531333;1.018864
0.532333;1.018875
0.533333;1.018886
0.534333;1.018897
0.535333;1.018907
0.536333;1.018918
0.537333;1.018929
0.538333;1.018939
0.539333;1.018950
0.540333;1.018960
0.541333;1.018971
0.542333;1.018981
0.543333;1.018992
0.544333;1.019002
0.545333;1.019013
0.546333;1.019023
0.547333;1.019033
0.548333;1.019043
0.549333;1.019054
0.550333;1.019064
0.551333;1.019074
0.552333;1.019084
0.553333;1.019094
0.554333;1.019104
0.555333;1.019114
0.556333;1.019124
0.557333;1.019134
0.558333;1.019144
0.559333;1.019154
0.560333;1.019164
0.561333;1.019174
0.562333;1.019184
0.563333;1.019194
0.564333;1.019203
0.565333;1.019213
0.566333;1.019223
0.567333;1.019233
0.568333;1.019242
0.569333;1.019252
0.570333;1.019262
0.571333;1.019271
0.572333;1.019281
0.573333;1.019291
0.574333;1.019300
0.575333;1.019310
0.576333;1.019319
0.577333;1.019329
0.578333;1.019338
0.579333;1.019348
0.580333;1.019357
0.581333;1.019367
0.582333;1.019376
0.583333;1.019386
0.584333;1.019395
0.585333;1.019405
0.586333;1.019414
0.587333;1.019424
0.588333;1.019433
0.589333;1.019442
0.590333;1.019452
0.591333;1.019461
0.592333;1.019471
0.593333;1.019480
0.594333;1.019489
0.595333;1.019499
0.596333;1.019508
0.597333;1.019517
0.598333;1.019527
0.599333;1.019536
0.600333;1.019545
0.601333;1.019554
0.602333;1.019563
0.603333;1.019572
0.604333;1.019581
0.605333;1.019589
0.606333;1.019598
0.607333;1.019606
0.608333;1.019614
0.609333;1.019622
0.610333;1.019630
0.611333;1.019638
0.612333;1.019646
0.613333;1.019654
0.614333;1.019662
0.615333;1.019670
0.616333;1.019678
0.617333;1.019686
0.618333;1.019694
0.619333;1.019703
0.620333;1.019711
0.621333;1.019719
0.622333;1.019727
0.623333;1.019735
0.624333;1.019744
0.625333;1.019752
0.626333;1.019760
0.627333;1.019768
0.628333;1.019777
0.629333;1.019785
0.630333;1.019793
0.631333;1.019801
0.632333;1.019809
0.633333;1.019818
0.634333;1.019826
0.635333;1.019834
0.636333;1.019842
0.637333;1.019850
0.638333;1.019858
0.639333;1.019866
0.640333;1.019874
0.641333;1.019882
0.642333;1.019890
0.643333;1.019898
0.644333;1.019906
0.645333;1.019914
0.646333;1.019922
0.647333;1.019930
0.648333;1.019939
0.649333;1.019947
0.650333;1.019955
0.651333;1.019963
0.652333;1.019971
0.653333;1.019979
0.654333;1.019987
0.655333;1.019995
0.656333;1.020003
0.657333;1.020011
0.658333;1.020019
0.659333;1.020027
0.660333;1.020035
0.661333;1.020043
0.662333;1.020051
0.663333;1.020059
0.664333;1.020066
0.665333;1.020074
0.666333;1.020082
0.667333;1.020090
0.668333;1.020098
0.669333;1.020106
0.670333;1.020114
0.671333;1.020122
0.672333;1.020130
0.673333;1.020137
0.674333;1.020145
0.675333;1.020153
0.676333;1.020161
0.677333;1.020169
0.678333;1.020177
0.679333;1.020184
0.680333;1.020192
0.681333;1.020200
0.682333;1.020207
0.683333;1.020215
0.684333;1.020223
0.685333;1.020231
0.686333;1.020238
0.687333;1.020246
0.688333;1.020253
0.689333;1.020261
0.690333;1.020269
0.691333;1.020276
0.692333;1.020284
0.693333;1.020291
0.694333;1.020299
0.695333;1.020306
0.696333;1.020314
0.697333;1.020321
0.698333;1.020329
0.699333;1.020336
0.700333;1.020343
0.701333;1.020351
0.702333;1.020358
0.703333;1.020365
0.704333;1.020373
0.705333;1.020380
0.706333;1.020387
0.707333;1.020394
0.708333;1.020401
0.709333;1.020408
0.710333;1.020415
0.711333;1.020422
0.712333;1.020429
0.713333;1.020436
0.714333;1.020443
0.715333;1.020450
0.716333;1.020457
0.717333;1.020464
0.718333;1.020471
0.719333;1.020478
0.720333;1.020484
0.721333;1.020491
0.722333;1.020498
0.723333;1.020504
0.724333;1.020511
0.725333;1.020517
0.726333;1.020524
0.727333;1.020530
0.728333;1.020537
0.729333;1.020543
0.730333;1.020549
0.731333;1.020556
0.732333;1.020562
0.733333;1.020568
0.734333;1.020574
0.735333;1.020580
0.736333;1.020586
0.737333;1.020592
0.738333;1.020598
0.739333;1.020604
0.740333;1.020610
0.741333;1.020616
0.742333;1.020622
0.743333;1.020627
0.744333;1.020633
0.745333;1.020638
0.746333;1.020644
0.747333;1.020649
0.748333;1.020655
0.749333;1.020660
0.750333;1.020666
0.751333;1.020671
0.752333;1.020676
0.753333;1.020681
0.754333;1.020686
0.755333;1.020691
0.756333;1.020696
0.757333;1.020701
0.758333;1.020706
0.759333;1.020711
0.760333;1.020715
0.761333;1.020720
0.762333;1.020725
0.763333;1.020729
0.764333;1.020734
0.765333;1.020738
0.766333;1.020743
0.767333;1.020747
0.768333;1.020751
0.769333;1.020755
0.770333;1.020759
0.771333;1.020763
0.772333;1.020767
